,location,total_sqft,bath,price,bhk
19,other,1100.0,2.0,48.0,2
25,other,1250.0,3.0,56.0,3
42,other,600.0,1.0,38.0,1
49,other,869.0,2.0,36.0,2
50,other,1270.0,2.0,50.0,2
59,other,840.0,2.0,45.0,2
60,other,4395.0,3.0,240.0,3
61,other,845.0,2.0,55.0,2
77,other,2511.0,3.0,205.0,3
80,other,1660.0,2.0,105.0,3
92,other,1450.0,2.0,70.0,3
98,other,1200.0,2.0,65.0,2
99,other,1200.0,3.0,90.0,3
103,other,1007.0,2.0,43.0,2
104,other,1200.0,2.0,50.0,2
105,other,966.0,2.0,49.9,2
108,other,782.0,2.0,55.68,2
110,other,1800.0,3.0,120.0,3
111,other,1413.0,2.0,75.0,3
127,other,945.0,2.0,54.0,2
130,other,1870.0,3.0,110.0,3
139,other,1260.0,2.0,85.05,3
153,other,2795.0,4.0,235.0,3
160,other,1350.0,2.0,48.0,3
162,other,1904.0,3.0,150.0,3
164,other,2000.0,3.0,175.0,3
166,other,1425.0,2.0,75.0,3
169,other,1470.0,2.0,70.0,3
170,other,1300.0,6.0,99.0,6
175,other,1500.0,3.0,100.0,3
186,other,1340.0,2.0,55.7,2
197,other,1783.0,3.0,115.0,3
201,other,912.0,2.0,70.0,3
208,other,1207.0,2.0,43.5,2
212,other,1798.0,3.0,89.0,3
214,other,1580.0,3.0,100.0,3
218,other,1415.0,3.0,78.0,3
222,other,2000.0,4.0,75.5,4
227,other,1500.0,2.0,115.0,2
231,other,1148.0,2.0,60.0,2
232,other,1110.0,2.0,55.0,2
235,other,1500.0,2.0,65.0,3
236,other,1080.0,2.0,39.0,2
239,other,1060.0,2.0,60.0,2
241,other,2600.0,8.0,180.0,8
243,other,1644.0,3.0,84.0,3
244,other,1285.0,2.0,72.5,2
248,other,4050.0,3.0,280.0,3
251,other,1060.0,2.0,55.0,2
254,other,1280.0,2.0,69.0,2
259,other,3045.0,3.0,170.0,3
268,other,700.0,1.0,26.0,2
277,other,4111.0,4.0,250.0,4
288,other,1084.0,2.0,50.0,2
297,other,950.0,2.0,47.0,2
298,other,2000.0,4.0,120.0,4
311,other,1560.0,3.0,115.0,3
319,other,1113.0,2.0,51.0,2
327,other,1200.0,2.0,55.0,2
330,other,1645.0,3.0,95.0,3
339,other,1200.0,2.0,79.0,2
340,other,1230.0,2.0,48.0,2
348,other,1800.0,3.0,150.0,3
352,other,1592.0,3.0,75.0,3
356,other,1762.0,3.0,125.0,3
357,other,950.0,2.0,50.0,2
361,other,1200.0,3.0,90.0,3
386,other,1629.0,3.0,79.0,3
394,other,1460.0,2.0,58.0,2
415,other,1760.0,3.0,88.0,3
428,other,1069.0,2.0,55.0,2
436,other,1450.0,3.0,55.0,3
